match_id,tournament_year,stage,group_name,date,home_team,away_team,home_goals,away_goals,winner,is_draw,went_to_extra_time,went_to_penalties,home_penalties,away_penalties,stadium,city,host_country
M-2010-33,2010,group stage,Group A,2010-06-22,France,South Africa,1,2,South Africa,False,0,0,0,0,Free State Stadium,Bloemfontein,South Africa
M-2010-34,2010,group stage,Group A,2010-06-22,Mexico,Uruguay,0,1,Uruguay,False,0,0,0,0,Royal Bafokeng Stadium,Rustenburg,South Africa
M-2010-35,2010,group stage,Group B,2010-06-22,Greece,Argentina,0,2,Argentina,False,0,0,0,0,Peter Mokaba Stadium,Polokwane,South Africa
M-2010-36,2010,group stage,Group B,2010-06-22,Nigeria,South Korea,2,2,Draw,True,0,0,0,0,Moses Mabhida Stadium,Durban,South Africa
M-2010-37,2010,group stage,Group C,2010-06-23,Slovenia,England,0,1,England,False,0,0,0,0,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa
M-2010-38,2010,group stage,Group C,2010-06-23,United States,Algeria,1,0,United States,False,0,0,0,0,Loftus Versfeld Stadium,Pretoria,South Africa
M-2010-39,2010,group stage,Group D,2010-06-23,Australia,Serbia,2,1,Australia,False,0,0,0,0,Mbombela Stadium,Nelspruit,South Africa
M-2010-40,2010,group stage,Group D,2010-06-23,Ghana,Germany,0,1,Germany,False,0,0,0,0,Soccer City,Johannesburg,South Africa
M-2010-41,2010,group stage,Group F,2010-06-24,Paraguay,New Zealand,0,0,Draw,True,0,0,0,0,Peter Mokaba Stadium,Polokwane,South Africa
M-2010-42,2010,group stage,Group F,2010-06-24,Slovakia,Italy,3,2,Slovakia,False,0,0,0,0,Ellis Park Stadium,Johannesburg,South Africa
M-2010-43,2010,group stage,Group E,2010-06-24,Cameroon,Netherlands,1,2,Netherlands,False,0,0,0,0,Cape Town Stadium,Cape Town,South Africa
M-2010-44,2010,group stage,Group E,2010-06-24,Denmark,Japan,1,3,Japan,False,0,0,0,0,Royal Bafokeng Stadium,Rustenburg,South Africa
M-2010-45,2010,group stage,Group G,2010-06-25,North Korea,Ivory Coast,0,3,Ivory Coast,False,0,0,0,0,Mbombela Stadium,Nelspruit,South Africa
M-2010-46,2010,group stage,Group G,2010-06-25,Portugal,Brazil,0,0,Draw,True,0,0,0,0,Moses Mabhida Stadium,Durban,South Africa
M-2010-47,2010,group stage,Group H,2010-06-25,Chile,Spain,1,2,Spain,False,0,0,0,0,Loftus Versfeld Stadium,Pretoria,South Africa
M-2010-48,2010,group stage,Group H,2010-06-25,Switzerland,Honduras,0,0,Draw,True,0,0,0,0,Free State Stadium,Bloemfontein,South Africa
M-2010-49,2010,round of 16,not applicable,2010-06-26,Uruguay,South Korea,2,1,Uruguay,False,0,0,0,0,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa
M-2010-50,2010,round of 16,not applicable,2010-06-26,United States,Ghana,1,2,Ghana,False,1,0,0,0,Royal Bafokeng Stadium,Rustenburg,South Africa
M-2010-51,2010,round of 16,not applicable,2010-06-27,Germany,England,4,1,Germany,False,0,0,0,0,Free State Stadium,Bloemfontein,South Africa
M-2010-52,2010,round of 16,not applicable,2010-06-27,Argentina,Mexico,3,1,Argentina,False,0,0,0,0,Soccer City,Johannesburg,South Africa
