team,team_zh,country_code,group,nationality,player_name,jersey_number,position,date_of_birth,age,height_cm,preferred_foot,market_value_eur_m,club,national_caps,national_goals,goal_rate,fifa_ranking,elo,data_source,source_url,squad_status
Mexico,墨西哥,MEX,Group A,墨西哥,Jorge Sánchez,2,Defender,"December 10, 1997",28,,N/A,,PAOK,59,3,0.051,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,César Montes,3,Defender,"February 24, 1997",29,,N/A,,Lokomotiv Moscow,67,4,0.06,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Edson Álvarez,4,Defender,"October 24, 1997",28,,N/A,,Fenerbahçe,98,7,0.071,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Johan Vásquez,5,Defender,"October 22, 1998",27,,N/A,,Genoa,46,3,0.065,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Érik Lira,6,Midfielder,"May 8, 2000",26,,N/A,,Cruz Azul,25,0,0.0,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Luis Romo,7,Midfielder,"June 5, 1995",31,,N/A,,Guadalajara,63,4,0.063,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Álvaro Fidalgo,8,Midfielder,"April 9, 1997",29,,N/A,,Real Betis,4,0,0.0,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Raúl Jiménez,9,Forward,"May 5, 1991",35,,N/A,,Fulham,124,45,0.363,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Alexis Vega,10,Forward,"November 25, 1997",28,,N/A,,Toluca,52,7,0.135,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
Mexico,墨西哥,MEX,Group A,墨西哥,Santiago Giménez,11,Forward,"April 18, 2001",25,,N/A,,Milan,47,6,0.128,15.0,1765.0,Wikipedia 2026 FIFA World Cup squads / FIFA official squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,official_squad_list
