player_name,team,team_zh,nationality,position,age,national_goals,assists,appearances,recent_form,is_key_player,club,data_note
Ali Ahmed,Canada,加拿大,加拿大,Forward,25,1,0,24,6.7,False,Norwich City,N/A
Jonathan Osorio,Canada,加拿大,加拿大,Midfielder,33,10,4,90,7.6,False,Toronto FC,N/A
Richie Laryea,Canada,加拿大,加拿大,Defender,31,1,0,75,7.2,False,Toronto FC,N/A
Niko Sigur,Canada,加拿大,加拿大,Defender,22,2,1,19,6.9,False,Hajduk Split,N/A
Promise David,Canada,加拿大,加拿大,Forward,24,3,1,10,7.2,False,Union Saint-Gilloise,N/A
Nathan Saliba,Canada,加拿大,加拿大,Midfielder,22,2,1,15,6.9,False,Anderlecht,N/A
Mahmud Abunada,Qatar,卡達,卡達,Goalkeeper,26,0,0,5,6.4,False,Al-Rayyan,N/A
Pedro Miguel,Qatar,卡達,卡達,Defender,35,3,1,99,7.5,False,Al-Sadd,N/A
Lucas Mendes,Qatar,卡達,卡達,Defender,35,1,0,25,6.8,False,Al-Wakrah,N/A
Issa Laye,Qatar,卡達,卡達,Defender,28,0,0,4,6.4,False,Al-Arabi,N/A
Jassem Gaber,Qatar,卡達,卡達,Defender,24,1,0,32,6.8,False,Al-Rayyan,N/A
Abdulaziz Hatem,Qatar,卡達,卡達,Midfielder,36,11,5,117,7.6,False,Al-Rayyan,N/A
Ahmed Alaaeldin,Qatar,卡達,卡達,Forward,33,9,4,68,7.4,False,Al-Rayyan,N/A
Edmilson Junior,Qatar,卡達,卡達,Forward,31,0,0,16,6.6,False,Al-Duhail,N/A
Mohammed Muntari,Qatar,卡達,卡達,Forward,32,16,7,67,7.7,False,Al-Gharafa,N/A
Hassan Al-Haydos,Qatar,卡達,卡達,Forward,35,41,17,186,8.0,True,Al-Sadd,N/A
Akram Afif,Qatar,卡達,卡達,Forward,29,39,16,125,8.2,True,Al-Sadd,N/A
Karim Boudiaf,Qatar,卡達,卡達,Midfielder,35,5,2,118,7.5,False,Al-Duhail,N/A
Ayoub Al-Oui,Qatar,卡達,卡達,Defender,21,0,0,6,6.5,False,Al-Gharafa,N/A
Homam Ahmed,Qatar,卡達,卡達,Defender,26,3,1,68,7.2,False,Cultural Leonesa,N/A
Yusuf Abdurisag,Qatar,卡達,卡達,Forward,26,3,1,39,7.0,False,Al-Wakrah,N/A
Boualem Khoukhi,Qatar,卡達,卡達,Defender,35,20,8,116,7.8,False,Al-Sadd,N/A
Ahmed Al-Ganehi,Qatar,卡達,卡達,Midfielder,25,1,0,13,6.7,False,Al-Gharafa,N/A
Sultan Al-Brake,Qatar,卡達,卡達,Defender,30,0,0,17,6.6,False,Al-Duhail,N/A
Almoez Ali,Qatar,卡達,卡達,Forward,29,55,23,115,8.6,True,Al-Duhail,N/A
Ahmed Fathy,Qatar,卡達,卡達,Midfielder,33,0,0,48,6.9,False,Al-Arabi,N/A
Salah Zakaria,Qatar,卡達,卡達,Goalkeeper,27,0,0,8,6.5,False,Al-Duhail,N/A
Meshaal Barsham,Qatar,卡達,卡達,Goalkeeper,28,0,0,52,6.9,False,Al-Sadd,N/A
Assim Madibo,Qatar,卡達,卡達,Midfielder,29,0,0,51,6.9,False,Al-Wakrah,N/A
Tahsin Jamshid,Qatar,卡達,卡達,Forward,19,0,0,3,6.4,False,Al-Duhail,N/A
Al-Hashmi Al-Hussain,Qatar,卡達,卡達,Defender,22,0,0,8,6.5,False,Al-Arabi,N/A
Mohamed Manai,Qatar,卡達,卡達,Forward,23,0,0,10,6.5,False,Al-Shamal,N/A
Gregor Kobel,Switzerland,瑞士,瑞士,Goalkeeper,28,0,0,21,6.6,False,Borussia Dortmund,N/A
Miro Muheim,Switzerland,瑞士,瑞士,Defender,28,0,0,10,6.5,False,Hamburger SV,N/A
Silvan Widmer,Switzerland,瑞士,瑞士,Defender,33,5,2,60,7.2,False,Mainz 05,N/A
Nico Elvedi,Switzerland,瑞士,瑞士,Defender,29,3,1,67,7.2,False,Borussia Mönchengladbach,N/A
Manuel Akanji,Switzerland,瑞士,瑞士,Defender,30,4,2,81,7.3,False,Inter Milan,N/A
Denis Zakaria,Switzerland,瑞士,瑞士,Midfielder,29,3,1,65,7.2,False,Monaco,N/A
Breel Embolo,Switzerland,瑞士,瑞士,Forward,29,24,10,86,8.0,True,Rennes,N/A
Remo Freuler,Switzerland,瑞士,瑞士,Midfielder,34,11,5,88,7.6,True,Bologna,N/A
Johan Manzambi,Switzerland,瑞士,瑞士,Midfielder,20,3,1,12,7.1,False,SC Freiburg,N/A
Granit Xhaka,Switzerland,瑞士,瑞士,Midfielder,33,17,7,146,7.7,True,Sunderland,N/A
Dan Ndoye,Switzerland,瑞士,瑞士,Forward,25,8,3,31,7.4,False,Nottingham Forest,N/A
Yvon Mvogo,Switzerland,瑞士,瑞士,Goalkeeper,32,0,0,13,6.5,False,Lorient,N/A
Ricardo Rodriguez,Switzerland,瑞士,瑞士,Defender,33,9,4,138,7.6,False,Real Betis,N/A
